,1_early,1_late,2_early,2_late,3_early,3_late,4_early,4_late,5_early,5_late,6_early,6_late
0.01,1107.439018,1107.439018,270.7305449,270.7305449,161.8967572,161.8967572,118.3123762,118.3123762,132.3710057,132.3710057,455.086492,455.086492
0.02,2612.484424,2612.484424,1124.955812,1124.955812,453.4717883,453.4717883,285.9989634,285.9989634,244.962594,244.962594,523.9063412,523.9063412
0.03,4750,4750,1871.777665,1871.777665,1037.853899,1037.853899,488.1106491,488.1106491,353.7579415,353.7579415,573.4150171,573.4150171
0.04,4750,4750,2557.568224,2557.568224,1514.61642,1514.61642,720.1587057,720.1587057,460.7273875,460.7273875,615.0696332,615.0696332
0.05,4750,4750,3524.680564,3524.680564,1868.450575,1868.450575,975.9891436,975.9891436,566.7933008,566.7933008,652.8560883,652.8560883
0.06,4750,4750,4750,4750,2175.809127,2175.809127,1222.40643,1222.40643,672.5008156,672.5008156,688.7723342,688.7723342
0.07,4750,4750,4750,4750,2488.759374,2488.759374,1441.420306,1441.420306,778.2144041,778.2144041,724.122095,724.122095
0.08,4750,4750,4750,4750,2850.716283,2850.716283,1635.059185,1635.059185,884.1543571,884.1543571,759.9903528,759.9903528
0.09,4750,4750,4750,4750,3308.388218,3308.388218,1808.393311,1808.393311,989.4502001,989.4502001,797.5322722,797.5322722
0.1,4750,4750,4750,4750,3889.171768,3889.171768,1967.435184,1967.435184,1092.584682,1092.584682,838.3073137,838.3073137
0.11,4750,4750,4750,4750,4586.23919,4586.23919,2120.20595,2120.20595,1192.68835,1192.68835,884.2796664,884.2796664
0.12,4750,4750,4750,4750,4750,4750,2272.159852,2272.159852,1289.395204,1289.395204,937.5546615,937.5546615
0.13,4750,4750,4750,4750,4750,4750,2427.591725,2427.591725,1382.646616,1382.646616,1001.030519,1001.030519
0.14,4750,4750,4750,4750,4750,4750,2590.964358,2590.964358,1472.553098,1472.553098,1078.484621,1078.484621
0.15,4750,4750,4750,4750,4750,4750,2768.135807,2768.135807,1559.30857,1559.30857,1173.250389,1173.250389
0.16,4750,4750,4750,4750,4750,4750,2966.000665,2966.000665,1643.197989,1643.197989,1283.619133,1283.619133
0.17,4750,4750,4750,4750,4750,4750,3188.80433,3188.80433,1725.052712,1725.052712,1399.166209,1399.166209
